Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,130.28,130.90,124.17,125.07,125.07,87155800
2023-01-04,126.89,128.66,125.08,126.36,126.36,70790800
2023-01-05,127.13,127.77,124.76,125.02,125.02,54873400
2023-01-06,126.01,130.29,125.85,129.62,129.62,75626200
2023-01-09,130.16,133.41,129.89,132.45,132.45,70790500
2023-01-10,131.25,132.53,128.12,130.73,130.73,68039400
2023-01-11,131.25,133.49,130.46,133.49,133.49,64015600
2023-01-12,133.88,134.26,131.44,133.41,133.41,65076900
2023-01-13,132.03,134.92,131.66,134.76,134.76,57207300
2023-01-17,134.83,136.81,134.39,135.94,135.94,63797600
2023-01-18,136.82,136.82,133.77,135.21,135.21,69458600
2023-01-19,134.08,135.27,132.15,135.27,135.27,56456600
2023-01-20,135.28,138.02,134.22,137.87,137.87,79570300
2023-01-23,138.12,143.76,137.90,143.00,143.00,81782600
2023-01-24,142.70,143.16,140.30,142.53,142.53,81599200
2023-01-25,140.89,144.95,140.61,143.96,143.96,87350700
2023-01-26,145.91,147.23,144.83,146.71,146.71,80231700
2023-01-27,146.28,147.70,145.22,145.93,145.93,70790400
2023-01-30,144.96,145.55,142.85,143.00,143.00,66454500
2023-01-31,142.70,144.34,142.28,144.29,144.29,65583200 
